# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EC958_0010	EC958_0010	EC958_0010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0011	EC958_0011	EC958_0011	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	7
EC958_0012	EC958_0012	EC958_0012	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	13
EC958_0013	EC958_0013	EC958_0013	protein_coding	0	1	1	29	23	1	0	0	0	0	0	1	6
EC958_0014	EC958_0014	EC958_0014	protein_coding	0	0	2	34	26	2	0	0	0	0	0	0	8
EC958_0015	EC958_0015	EC958_0015	protein_coding	0	0	2	36	25	2	0	0	0	0	0	0	11
EC958_0016	EC958_0016	EC958_0016	protein_coding	0	3	3	37	24	3	0	0	0	0	0	3	13
EC958_0017	EC958_0017	EC958_0017	protein_coding	0	1	0	44	20	0	0	0	0	0	0	1	24
EC958_0018	EC958_0018	EC958_0018	protein_coding	0	1	1	37	14	1	0	0	0	0	0	1	23
EC958_0020	EC958_0020	EC958_0020	protein_coding	0	6	3	31	23	3	0	0	0	0	0	6	8
EC958_0021	EC958_0021	EC958_0021	protein_coding	0	2	1	28	23	1	0	0	0	0	0	2	5
EC958_0022	EC958_0022	EC958_0022	protein_coding	0	1	1	28	24	1	0	0	0	0	0	1	4
EC958_0023	EC958_0023	EC958_0023	protein_coding	0	0	1	22	3	1	0	0	0	0	0	0	19
EC958_0024	EC958_0024	EC958_0024	protein_coding	0	0	0	27	19	0	0	0	0	0	0	0	8
EC958_0025	EC958_0025	EC958_0025	protein_coding	0	0	0	41	14	0	0	0	0	0	0	0	27
EC958_0026	EC958_0026	EC958_0026	protein_coding	0	1	0	53	11	0	0	0	0	0	0	1	42
EC958_0027	EC958_0027	EC958_0027	protein_coding	0	0	0	88	12	0	0	0	0	0	0	0	76
EC958_0028	EC958_0028	EC958_0028	protein_coding	0	0	0	91	8	0	0	0	0	0	0	0	83
EC958_0029	EC958_0029	EC958_0029	protein_coding	0	0	0	88	5	0	0	0	0	0	0	0	83
EC958_0030	EC958_0030	EC958_0030	protein_coding	0	3	0	85	4	0	0	0	0	0	0	3	81
EC958_0031	EC958_0031	EC958_0031	protein_coding	0	1	0	87	8	0	0	0	0	0	0	1	79
EC958_0033	EC958_0033	EC958_0033	protein_coding	0	6	10	96	55	10	0	0	0	0	0	6	41
EC958_0034	EC958_0034	EC958_0034	protein_coding	0	3	4	112	72	4	0	0	0	0	0	3	40
EC958_0036	EC958_0036	EC958_0036	protein_coding	0	1	0	185	102	0	0	0	0	0	0	1	83
EC958_0038	EC958_0038	EC958_0038	protein_coding	1	16	12	107	43	12	0	1	0	0	0	16	64
EC958_0041	EC958_0041	EC958_0041	protein_coding	0	0	0	167	105	0	0	0	0	0	0	0	62
EC958_0042	EC958_0042	EC958_0042	protein_coding	0	0	0	165	92	0	0	0	0	0	0	0	73
EC958_0052	EC958_0052	EC958_0052	protein_coding	0	1	0	105	73	0	0	0	0	0	0	1	32
EC958_0055	EC958_0055	EC958_0055	protein_coding	0	0	0	55	19	0	0	0	0	0	0	0	36
EC958_0057	EC958_0057	EC958_0057	protein_coding	0	4	6	69	19	6	0	0	0	0	0	4	50
EC958_0058	EC958_0058	EC958_0058	protein_coding	0	0	0	80	49	0	0	0	0	0	0	0	31
EC958_0064	EC958_0064	EC958_0064	protein_coding	0	15	1	75	34	1	0	0	0	0	0	15	41
EC958_0067	EC958_0067	EC958_0067	protein_coding	0	1	0	110	43	0	0	0	0	0	0	1	67
EC958_0071	EC958_0071	EC958_0071	protein_coding	0	31	2	102	42	2	0	0	0	0	0	31	60
EC958_0072	EC958_0072	EC958_0072	protein_coding	0	22	13	92	25	13	0	0	0	0	0	22	67
EC958_0074	EC958_0074	EC958_0074	protein_coding	0	2	2	95	4	2	0	0	0	0	0	2	91
EC958_0076	EC958_0076	EC958_0076	protein_coding	0	0	0	99	88	0	0	0	0	0	0	0	11
EC958_0077	EC958_0077	EC958_0077	protein_coding	0	0	0	49	25	0	0	0	0	0	0	0	24
EC958_0078	EC958_0078	EC958_0078	protein_coding	0	0	0	34	1	0	0	0	0	0	0	0	33
EC958_0079	EC958_0079	EC958_0079	protein_coding	0	0	0	52	0	0	0	0	0	0	0	0	52
EC958_0080	EC958_0080	EC958_0080	protein_coding	0	2	4	51	48	4	0	0	0	0	0	2	3
EC958_0081	EC958_0081	EC958_0081	protein_coding	0	2	0	58	49	0	0	0	0	0	0	2	9
EC958_0083	EC958_0083	EC958_0083	protein_coding	0	1	0	64	19	0	0	0	0	0	0	1	45
EC958_0085	EC958_0085	EC958_0085	protein_coding	0	11	1	96	48	1	0	0	0	0	0	11	48
EC958_0086	EC958_0086	EC958_0086	protein_coding	0	11	0	98	45	0	0	0	0	0	0	11	53
EC958_0088	EC958_0088	EC958_0088	protein_coding	0	8	4	109	70	4	0	0	0	0	0	8	39
